CatchId, Stage, Number of Cells, SurfaceArea (m2), BedArea (m2), Volume (m3), SLOPE, LENGTHKM, AREASQKM
26, 10.000000, 52346, 4790887.954695, 4793401.253108, 22522128.974976, 0.0074794210, 4883.500000, 9.774500
98, 0.100000, 38, 3478.524022, 3478.524022, 347.852402, 0.0000000000, 371.600000, 0.133312
98, 0.200000, 38, 3478.524022, 3478.524022, 695.704804, 0.0000000000, 371.600000, 0.133312
98, 0.500000, 38, 3478.524022, 3478.524022, 1739.262011, 0.0000000000, 371.600000, 0.133312
98, 1.000000, 41, 3753.145057, 3754.338673, 3502.438544, 0.0000000000, 371.600000, 0.133312
98, 2.000000, 72, 6590.887038, 6629.322682, 8176.355746, 0.0000000000, 371.600000, 0.133312
98, 5.000000, 486, 44488.340198, 44740.523957, 87426.807952, 0.0000000000, 371.600000, 0.133312
98, 10.000000, 988, 90440.931230, 90929.927121, 403934.379992, 0.0000000000, 371.600000, 0.133312
163, 0.100000, 378, 34602.612696, 34603.629539, 3427.288162, 0.0016222060, 4308.300000, 6.293568
163, 0.200000, 396, 36250.363340, 36251.612022, 6970.488832, 0.0016222060, 4308.300000, 6.293568
163, 0.500000, 487, 44580.586332, 44588.567588, 19007.829573, 0.0016222060, 4308.300000, 6.293568
163, 1.000000, 692, 63346.451040, 63420.464748, 45530.696064, 0.0016222060, 4308.300000, 6.293568
163, 2.000000, 1121, 102617.560010, 103097.832715, 130378.763970, 0.0016222060, 4308.300000, 6.293568
163, 5.000000, 2202, 201573.737801, 204540.847975, 594822.282842, 0.0016222060, 4308.300000, 6.293568
163, 10.000000, 9300, 851336.785993, 860318.643709, 2789686.156039, 0.0016222060, 4308.300000, 6.293568
155, 0.100000, 147, 13457.282707, 13457.327801, 1333.864294, 0.0006009270, 1656.900000, 1.587456
155, 0.200000, 151, 13823.476252, 13823.599028, 2685.687043, 0.0006009270, 1656.900000, 1.587456
155, 0.500000, 189, 17302.308726, 17304.729340, 7308.484726, 0.0006009270, 1656.900000, 1.587456
155, 1.000000, 267, 24443.034075, 24458.687072, 17737.227846, 0.0006009270, 1656.900000, 1.587456
155, 2.000000, 583, 53371.565009, 53527.493780, 57281.764463, 0.0006009270, 1656.900000, 1.587456
155, 5.000000, 1363, 124777.743613, 125973.226891, 305591.916209, 0.0006009270, 1656.900000, 1.587456
155, 10.000000, 4962, 454255.458769, 457519.584779, 1594034.444595, 0.0006009270, 1656.900000, 1.587456
